Battery_ID,Cycle_Index,Discharge_Index,Ambient_Temperature,Discharge_Time_Seconds,Max_Temp_Reached,Min_Voltage_Recorded,Voltage_Drop_Rate_V_per_sec,Internal_Resistance_Re,Cycles_Since_Impedance,Capacity_Ahr,SoH,Baseline_Capacity_Ahr,Charge_Rate_Proxy,Time_Since_Reset_Cycles
B0005,2,1,24,3690.234,38.98218133,2.612467348,0.000427893,0.0446687,0,1.856487421,1.0,1.856487421,0.42789299999999997,0
B0005,4,2,24,3672.344,39.03339797,2.587208729,0.000436387,0.0446687,0,1.84632725,0.9945272071951196,1.856487421,0.43638699999999997,0
B0005,6,3,24,3651.641,38.81879669,2.651916894,0.000420707,0.0446687,0,1.835349194,0.9886138592909972,1.856487421,0.420707,0
B0005,8,4,24,3631.563,38.76230451,2.592947965,0.000439346,0.0446687,0,1.835262528,0.9885671765076828,1.856487421,0.439346,0
B0005,10,5,24,3629.172,38.66539257,2.547419651,0.000452136,0.0446687,0,1.834645508,0.9882348176707628,1.856487421,0.452136,0
B0005,12,6,24,3652.281,38.75169505,2.52094805,0.000456665,0.0446687,0,1.83566166,0.9887821696153576,1.856487421,0.456665,0
B0005,14,7,24,3650.828,38.82070123,2.487927319,0.000465775,0.0446687,0,1.835146143,0.988504485536183,1.856487421,0.465775,0
B0005,16,8,24,3572.453,38.51713023,2.665204905,0.00042652,0.0446687,0,1.825756791,0.983446895652303,1.856487421,0.42652,0
B0005,18,9,24,3550.594,38.5262679,2.603858473,0.000446452,0.0446687,0,1.824773853,0.9829174344833872,1.856487421,0.446452,0
B0005,20,10,24,3551.25,38.52698128,2.552853985,0.000460787,0.0446687,0,1.824613268,0.9828309351092556,1.856487421,0.460787,0
B0005,22,11,24,3530.25,38.54143407,2.472448302,0.000486217,0.0446687,0,1.824619553,0.9828343205348332,1.856487421,0.486217,0
B0005,25,12,24,3491.016,38.52197452,2.649564133,0.000441222,0.0446687,0,1.814201936,0.977222854019004,1.856487421,0.441222,0
B0005,27,13,24,3470.281,38.58248583,2.572498178,0.000465896,0.0446687,0,1.813752158,0.9769805803602049,1.856487421,0.465896,0
B0005,29,14,24,3470.0,38.52029413,2.52498867,0.000479495,0.0446687,0,1.813440491,0.9768127004185072,1.856487421,0.47949499999999995,0
B0005,31,15,24,3450.297,38.21358593,2.694621862,0.000433148,0.0446687,0,1.802598004,0.970972376979009,1.856487421,0.43314800000000003,0
B0005,33,16,24,3429.407,38.19836187,2.640101417,0.000451714,0.0446687,0,1.8021069,0.9707078430024008,1.856487421,0.451714,0
B0005,35,17,24,3409.484,38.31926916,2.57390351,0.000473678,0.0446687,0,1.802579501,0.9709624103076538,1.856487421,0.473678,0
B0005,37,18,24,3390.422,38.47875425,2.494239683,0.000499802,0.0446687,0,1.803068314,0.9712257102333473,1.856487421,0.499802,0
B0005,39,19,24,3390.281,38.54659018,2.455679325,0.000511342,0.0446687,0,1.802777625,0.9710691301258216,1.856487421,0.5113420000000001,0
B0005,42,20,24,3591.734,38.44749852,2.632142801,0.00043307,0.0446687,1,1.847025995,0.9949035873375844,1.856487421,0.43307,1
B0005,46,21,24,3552.297,38.99227579,2.502776469,0.000474299,0.044843431,1,1.847417311,0.9951143703440154,1.856487421,0.474299,1
B0005,50,22,24,3531.578,38.51424197,2.617507743,0.000444543,0.045101149,1,1.836177421,0.9890599851255334,1.856487421,0.44454299999999997,1
B0005,54,23,24,3492.907,38.16581614,2.694074478,0.000427515,0.044172076,1,1.825780748,0.9834598001297205,1.856487421,0.427515,1
B0005,58,24,24,3511.594,38.16526204,2.623767464,0.000445288,0.043786628,1,1.825113644,0.9831004634638998,1.856487421,0.445288,1
B0005,62,25,24,3431.937,38.27549579,2.50107983,0.000491461,0.044639322,1,1.825581504,0.983352477021712,1.856487421,0.491461,1
B0005,66,26,24,3431.125,37.9821608,2.684998819,0.000438125,0.043558786,1,1.814031128,0.9771308480091232,1.856487421,0.438125,1
B0005,70,27,24,3412.406,38.11100192,2.547109116,0.000480667,0.045265478,1,1.814769194,0.9775284084728522,1.856487421,0.480667,1
B0005,74,28,24,3410.688,38.18831138,2.471314764,0.000503196,0.044483716,1,1.813969389,0.9770975921953204,1.856487421,0.503196,1
B0005,78,29,24,3410.718,37.99854112,2.661390331,0.000447607,0.044414165,1,1.802765665,0.9710626878521684,1.856487421,0.447607,1
B0005,82,30,24,3392.719,38.19420165,2.541762355,0.000485129,0.044535446,1,1.80407704,0.971769062150839,1.856487421,0.485129,1
B0005,86,31,24,3470.672,38.457964,2.628919416,0.000452982,0.045021352,3,1.851802552,0.9974764876147256,1.856487421,0.452982,3
B0005,90,32,24,3414.109,38.49126352,2.631255269,0.000459378,0.046462516,1,1.830703846,0.9861116349573156,1.856487421,0.45937799999999995,1
B0005,94,33,24,3395.219,38.31473393,2.654880745,0.000455044,0.047723855,1,1.819904109,0.9802943388755664,1.856487421,0.455044,1
B0005,98,34,24,3386.0,37.86193464,2.674968842,0.000450128,0.04694023,1,1.809307964,0.9745867079591702,1.856487421,0.450128,1
B0005,102,35,24,3368.187,37.90665576,2.615970573,0.000470291,0.047027982,1,1.804609905,0.972056090758721,1.856487421,0.470291,1
B0005,106,36,24,3368.266,38.34003239,2.658447162,0.000457573,0.04775538,1,1.799377065,0.9692374128938416,1.856487421,0.457573,1
B0005,110,37,24,3358.719,38.07459506,2.697942608,0.000446969,0.047022939,1,1.788443234,0.963347886858642,1.856487421,0.446969,1
B0005,114,38,24,3339.5,38.07252758,2.661727225,0.000460633,0.04624537,1,1.782923048,0.9603744295986802,1.856487421,0.460633,1
B0005,118,39,24,3331.265,37.80133585,2.699288288,0.000450264,0.046186103,1,1.773033716,0.9550475246662068,1.856487421,0.450264,1
B0005,122,40,24,3321.188,38.39873985,2.612793241,0.000477721,0.04773737,1,1.773037755,0.955049700280194,1.856487421,0.477721,1
B0005,126,41,24,3321.844,38.74929238,2.66370649,0.000462355,0.048383342,1,1.767872111,0.9522672176511344,1.856487421,0.462355,1
B0005,130,42,24,3311.828,38.87275465,2.666845429,0.000462796,0.04803751,1,1.76231507,0.9492739083848606,1.856487421,0.46279600000000004,1
B0005,134,43,24,3327.391,38.50354143,2.684431052,0.000453707,0.04808696,1,1.767617292,0.9521299589780522,1.856487421,0.453707,1
B0005,136,44,24,3312.078,38.27009095,2.645224362,0.000469642,0.04808696,3,1.76266836,0.9494642086239052,1.856487421,0.469642,3
B0005,140,45,24,3293.172,38.11684755,2.660352724,0.000467253,0.047547282,1,1.751730487,0.9435725053587636,1.856487421,0.467253,1
B0005,144,46,24,3275.328,38.04152715,2.692684979,0.000460019,0.047640921,1,1.741849605,0.9382501520326756,1.856487421,0.460019,1
B0005,148,47,24,3265.016,38.17980302,2.670544735,0.000468169,0.04842437,1,1.736091351,0.935148459053308,1.856487421,0.468169,1
B0005,150,48,24,3328.937,40.71218199,2.605158061,0.000476203,0.04842437,3,1.793624015,0.9661385230576254,1.856487421,0.47620300000000004,3
B0005,154,49,24,3329.266,39.88526123,2.672012007,0.000458937,0.049430746,1,1.783189022,0.9605176969308428,1.856487421,0.458937,1
B0005,158,50,24,3301.579,39.18287353,2.674271234,0.000461929,0.049748225,1,1.767364208,0.9519936348655712,1.856487421,0.461929,1
B0005,162,51,24,3283.563,38.9515648,2.630941673,0.000477555,0.049884866,1,1.757017785,0.9464205171148315,1.856487421,0.477555,1
B0005,166,52,24,3275.125,38.60751076,2.662972574,0.00046913,0.049216381,1,1.746870618,0.94095472893592,1.856487421,0.46913,1
B0005,170,53,24,3265.656,38.9203599,2.61294212,0.000485874,0.049945939,1,1.741717251,0.9381788593330846,1.856487421,0.48587400000000003,1
B0005,174,54,24,3266.093,39.23273115,2.615719844,0.000484856,0.048969605,1,1.736422506,0.9353268362382297,1.856487421,0.48485599999999995,1
B0005,178,55,24,3257.594,38.96492707,2.628769547,0.000482006,0.050229376,1,1.726321724,0.92988603341579,1.856487421,0.482006,1
B0005,182,56,24,3248.593,38.83927283,2.665510668,0.000471845,0.049715267,1,1.715806539,0.9242220117364318,1.856487421,0.47184499999999996,1
B0005,186,57,24,3238.766,38.82796378,2.650495153,0.000478114,0.049132166,1,1.710533351,0.9213816003550503,1.856487421,0.47811400000000004,1
B0005,190,58,24,3240.14,39.14007945,2.643236235,0.000480206,0.049209683,1,1.7060145,0.9189475138382852,1.856487421,0.480206,1
B0005,194,59,24,3230.109,39.3496116,2.656450207,0.00047763,0.049506316,1,1.700311027,0.9158753287345868,1.856487421,0.47763,1
B0005,198,60,24,3229.781,39.29444536,2.626177688,0.000487054,0.048651763,1,1.69457986,0.9127882262122798,1.856487421,0.487054,1
B0005,202,61,24,3212.469,39.10487658,2.658223034,0.000479814,0.049165756,1,1.684902909,0.907575720654452,1.856487421,0.479814,1
B0005,206,62,24,3213.219,39.04626094,2.695100237,0.000468174,0.049234273,1,1.674474159,0.9019582573298784,1.856487421,0.46817400000000003,1
B0005,210,63,24,3203.578,39.39803219,2.639091814,0.000486924,0.050547586,1,1.674569248,0.9020094771759836,1.856487421,0.486924,1
B0005,214,64,24,3195.125,39.10678394,2.685721028,0.000473241,0.050118815,1,1.663716376,0.8961635598391701,1.856487421,0.473241,1
B0005,216,65,24,3195.313,39.44448954,2.690178665,0.000472928,0.050118815,3,1.659013869,0.8936305467162118,1.856487421,0.472928,3
B0005,220,66,24,3186.297,39.50960202,2.639895313,0.000489422,0.049792567,1,1.653854057,0.8908512055035357,1.856487421,0.48942199999999997,1
B0005,224,67,24,3176.438,39.33486536,2.689914529,0.000475061,0.049865378,1,1.642653782,0.8848181589699012,1.856487421,0.475061,1
B0005,228,68,24,3167.593,39.4372327,2.659358188,0.000485914,0.049811933,1,1.637857843,0.8822348185466106,1.856487421,0.485914,1
B0005,232,69,24,3167.719,39.51375236,2.665703059,0.00048402,0.048506735,1,1.632735041,0.8794754128312513,1.856487421,0.48402,1
B0005,236,70,24,3159.078,39.60170303,2.642986759,0.000492737,0.050023074,1,1.627752892,0.8767917700854705,1.856487421,0.49273700000000004,1
B0005,240,71,24,3148.829,39.6874636,2.631116912,0.000497857,0.05020469,1,1.622125486,0.8737605585963193,1.856487421,0.497857,1
B0005,244,72,24,3149.094,39.53535076,2.696157405,0.000477264,0.049758573,1,1.61132566,0.8679432145745738,1.856487421,0.47726399999999997,1
B0005,248,73,24,3140.547,39.65023716,2.666759624,0.000487734,0.049686755,1,1.60656314,0.8653778753505489,1.856487421,0.487734,1
B0005,252,74,24,3131.625,39.69929058,2.640318545,0.000497637,0.049950057,1,1.601514223,0.8626582679118513,1.856487421,0.497637,1
