Battery_ID,Cycle_Index,Discharge_Index,Ambient_Temperature,Discharge_Time_Seconds,Max_Temp_Reached,Min_Voltage_Recorded,Voltage_Drop_Rate_V_per_sec,Internal_Resistance_Re,Cycles_Since_Impedance,Capacity_Ahr,SoH
B0005,2,1,24,3690.234,38.98218133,2.612467348,0.000427893,0.0446687,0,1.856487421,1
B0005,4,2,24,3672.344,39.03339797,2.587208729,0.000436387,0.0446687,0,1.84632725,0.994527207
B0005,6,3,24,3651.641,38.81879669,2.651916894,0.000420707,0.0446687,0,1.835349194,0.98861386
B0005,8,4,24,3631.563,38.76230451,2.592947965,0.000439346,0.0446687,0,1.835262528,0.988567176
B0005,10,5,24,3629.172,38.66539257,2.547419651,0.000452136,0.0446687,0,1.834645508,0.988234818
B0005,12,6,24,3652.281,38.75169505,2.52094805,0.000456665,0.0446687,0,1.83566166,0.98878217
B0005,14,7,24,3650.828,38.82070123,2.487927319,0.000465775,0.0446687,0,1.835146143,0.988504486
B0005,16,8,24,3572.453,38.51713023,2.665204905,0.00042652,0.0446687,0,1.825756791,0.983446896
B0005,18,9,24,3550.594,38.5262679,2.603858473,0.000446452,0.0446687,0,1.824773853,0.982917435
B0005,20,10,24,3551.25,38.52698128,2.552853985,0.000460787,0.0446687,0,1.824613268,0.982830935
B0005,22,11,24,3530.25,38.54143407,2.472448302,0.000486217,0.0446687,0,1.824619553,0.98283432
B0005,25,12,24,3491.016,38.52197452,2.649564133,0.000441222,0.0446687,0,1.814201936,0.977222854
B0005,27,13,24,3470.281,38.58248583,2.572498178,0.000465896,0.0446687,0,1.813752158,0.97698058
B0005,29,14,24,3470,38.52029413,2.52498867,0.000479495,0.0446687,0,1.813440491,0.976812701
B0005,31,15,24,3450.297,38.21358593,2.694621862,0.000433148,0.0446687,0,1.802598004,0.970972377
B0005,33,16,24,3429.407,38.19836187,2.640101417,0.000451714,0.0446687,0,1.8021069,0.970707843
B0005,35,17,24,3409.484,38.31926916,2.57390351,0.000473678,0.0446687,0,1.802579501,0.97096241
B0005,37,18,24,3390.422,38.47875425,2.494239683,0.000499802,0.0446687,0,1.803068314,0.97122571
B0005,39,19,24,3390.281,38.54659018,2.455679325,0.000511342,0.0446687,0,1.802777625,0.97106913
B0005,42,20,24,3591.734,38.44749852,2.632142801,0.00043307,0.0446687,1,1.847025995,0.994903587
B0005,46,21,24,3552.297,38.99227579,2.502776469,0.000474299,0.044843431,1,1.847417311,0.995114371
B0005,50,22,24,3531.578,38.51424197,2.617507743,0.000444543,0.045101149,1,1.836177421,0.989059985
B0005,54,23,24,3492.907,38.16581614,2.694074478,0.000427515,0.044172076,1,1.825780748,0.9834598
B0005,58,24,24,3511.594,38.16526204,2.623767464,0.000445288,0.043786628,1,1.825113644,0.983100463
B0005,62,25,24,3431.937,38.27549579,2.50107983,0.000491461,0.044639322,1,1.825581504,0.983352477
B0005,66,26,24,3431.125,37.9821608,2.684998819,0.000438125,0.043558786,1,1.814031128,0.977130848
B0005,70,27,24,3412.406,38.11100192,2.547109116,0.000480667,0.045265478,1,1.814769194,0.977528409
