battery_id,group,ambient_temperature_C,discharge_protocol,discharge_cutoff_V,end_condition_capacity_Ahr
B0005,G1,24,2A CC,2.7,1.4
B0006,G1,24,2A CC,2.5,1.4
B0007,G1,24,2A CC,2.2,1.4
B0018,G1,24,2A CC,2.5,1.4
B0025,G2,24,4A Square Wave,2.0,
B0026,G2,24,4A Square Wave,2.2,
B0027,G2,24,4A Square Wave,2.5,
B0028,G2,24,4A Square Wave,2.7,
B0029,G3,43,4A CC,2.0,
B0030,G3,43,4A CC,2.2,
B0031,G3,43,4A CC,2.5,
B0032,G3,43,4A CC,2.7,
B0033,G4,24,4A CC,2.0,1.6
B0034,G4,24,4A CC,2.2,1.6
B0036,G4,24,2A CC,2.7,1.6
B0038,G5,"24, 44",Mixed Loads,2.2,1.6
B0039,G5,"24, 44",Mixed Loads,2.5,1.6
B0040,G5,"24, 44",Mixed Loads,2.7,1.6
B0041,G6,4,1A & 4A Fixed,2.0,1.4
B0042,G6,4,1A & 4A Fixed,2.2,1.4
B0043,G6,4,1A & 4A Fixed,2.5,1.4
B0044,G6,4,1A & 4A Fixed,2.7,1.4
B0045,G7,4,1A CC,2.0,1.4
B0046,G7,4,1A CC,2.2,1.4
B0047,G7,4,1A CC,2.5,1.4
B0048,G7,4,1A CC,2.7,1.4
B0049,G8,4,2A CC,2.0,crashed
B0050,G8,4,2A CC,2.2,crashed
B0051,G8,4,2A CC,2.5,crashed
B0052,G8,4,2A CC,2.7,crashed
B0053,G9,4,2A CC,2.0,1.4
B0054,G9,4,2A CC,2.2,1.4
B0055,G9,4,2A CC,2.5,1.4
B0056,G9,4,2A CC,2.7,1.4
